symbol,address,decimal,order_size,err
WISE,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,18,,None
TEL,0x467bccd9d29f223bce8043b84e8c8b282827790f,2,,None
RVP,0x17ef75aa22dd5f6c2763b8304ab24f40ee54d48a,18,,None
BLANK,0x41a3dba3d677e573636ba691a70ff2d606c29666,18,,None
WAS,0x0c572544a4ee47904d54aaa6a970af96b6f00e1b,18,,None
STARL,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,18,,None
FTX Token,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,18,,None
KEL,0x4abb9cc67bd3da9eb966d1159a71a0e68bd15432,18,,None
MIM,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,18,,None
SAITAMA,0xce3f08e664693ca792cace4af1364d5e220827b2,9,,None
DXP,0x88aa4a6c5050b9a1b2aa7e34d0582025ca6ab745,18,,None
BXX,0x6b1a8f210ec6b7b6643cea3583fb0c079f367898,18,,None
NU,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,18,,None
PLU,0xd8912c10681d8b21fd3742244f44658dba12264e,18,,None
ORAI,0x4c11249814f11b9346808179cf06e71ac328c1b5,18,,None
eXRD,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,18,,None
RAD,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,18,,None
TRU,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,18,,None
ORBS,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,18,,None
ICHI,0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,18,,None
VOLT,0x7db5af2b9624e1b3b4bb69d6debd9ad1016a58ac,9,,None
icETH,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,18,,None
TOWN,0x3dd98c8a089dbcff7e8fc8d4f532bd493501ab7f,8,,None
ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,18,,None
BC,0xe03b2642a5111ad0efc0cbce766498c2dd562ae9,9,,None
DINO,0x49642110b712c1fd7261bc074105e9e44676c68f,18,,None
CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8,,None
MUSE,0xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,18,,None
SSV,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,18,,None
BabyDoge,0xac57de9c1a09fec648e93eb98875b212db0d460b,9,,None
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18,,None
LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,18,,None
CAW,0xf3b9569f82b18aef890de263b84189bd33ebe452,18,,None
DG,0x4b520c812e8430659fc9f12f6d0c39026c83588d,18,,None
UNCX,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,18,,None
PYR,0x430ef9263e76dae63c84292c3409d61c598e9682,18,,None
vBNT,0x48fb253446873234f2febbf9bdeaa72d9d387f94,18,,None
TOKE,0x2e9d63788249371f1dfc918a52f8d799f4a38c94,18,,None
MILADY,0x227c7df69d3ed1ae7574a1a7685fded90292eb48,18,,None
OUSD,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,18,,None
